ts_code,symbol,name,enname,aliases
005930.KS,005930.KS,三星电子,Samsung Electronics Co. Ltd.,Samsung|Samsung Electronics|三星|삼성전자
000660.KS,000660.KS,SK海力士,SK hynix Inc.,SK Hynix|海力士|하이닉스
373220.KS,373220.KS,LG新能源,LG Energy Solution Ltd.,LG Energy Solution|LGES|LG新能源
005380.KS,005380.KS,现代汽车,Hyundai Motor Company,Hyundai|Hyundai Motor|现代|현대차
035420.KS,035420.KS,NAVER,NAVER Corporation,Naver|NAVER|네이버
051910.KS,051910.KS,LG化学,LG Chem Ltd.,LG Chem|LG化学
006400.KS,006400.KS,三星SDI,Samsung SDI Co. Ltd.,Samsung SDI|三星SDI
035720.KQ,035720.KQ,Kakao,Kakao Corp.,Kakao|可可|카카오
247540.KQ,247540.KQ,Ecopro BM,Ecopro BM Co. Ltd.,Ecopro BM|ECOPRO BM|에코프로비엠
091990.KQ,091990.KQ,赛尔群医疗,Celltrion Healthcare Co. Ltd.,Celltrion Healthcare|Celltrion|셀트리온헬스케어
000270.KS,000270.KS,起亚,Kia Corporation,Kia|起亚|기아
068270.KS,068270.KS,赛尔群,Celltrion Inc.,Celltrion|셀트리온
105560.KS,105560.KS,KB金融集团,KB Financial Group Inc.,KB Financial|KB금융
055550.KS,055550.KS,新韩金融集团,Shinhan Financial Group Co. Ltd.,Shinhan Financial|신한지주
012330.KS,012330.KS,现代摩比斯,Hyundai Mobis Co. Ltd.,Hyundai Mobis|现代Mobis|현대모비스
028260.KS,028260.KS,三星物产,Samsung C&T Corporation,Samsung C&T|三星物产|삼성물산
032830.KS,032830.KS,三星生命保险,Samsung Life Insurance Co. Ltd.,Samsung Life|三星生命|삼성생명
066570.KS,066570.KS,LG电子,LG Electronics Inc.,LG Electronics|LG전자
096770.KS,096770.KS,SK Innovation,SK Innovation Co. Ltd.,SK Innovation|SK이노베이션
003550.KS,003550.KS,LG,LG Corp.,LG|LG集团
034730.KS,034730.KS,SK,SK Inc.,SK|SK控股
017670.KS,017670.KS,SK Telecom,SK Telecom Co. Ltd.,SK Telecom|SKT|SK텔레콤
086790.KS,086790.KS,Hana Financial,Hana Financial Group,Hana|하나금융지주
033780.KS,033780.KS,KT&G,KT&G Corporation,KT&G|韩国烟草
009150.KS,009150.KS,三星电机,Samsung Electro-Mechanics Co. Ltd.,Samsung Electro-Mechanics|三星电机|삼성전기
010130.KS,010130.KS,高丽亚铅,Korea Zinc Co. Ltd.,Korea Zinc|고려아연
018260.KS,018260.KS,三星SDS,Samsung SDS Co. Ltd.,Samsung SDS|삼성에스디에스
011200.KS,011200.KS,HMM,HMM Co. Ltd.,HMM|现代商船
090430.KS,090430.KS,爱茉莉太平洋,Amorepacific Corporation,Amorepacific|아모레퍼시픽
086520.KQ,086520.KQ,Ecopro,Ecopro Co. Ltd.,Ecopro|에코프로
